Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
2014.8075         36.00      7.46e-10      1.39e-06     26076.2      5.26e-22         1.62         1.69
2014.8770         36.00      7.47e-10      1.39e-06     26095.3      5.25e-22         1.62         1.69
2014.9465         36.00      7.47e-10      1.39e-06     26114.4      5.25e-22         1.62         1.69
2015.0160         36.00      7.48e-10      1.39e-06     26133.5      5.25e-22         1.62         1.69
2015.0856         36.00      7.48e-10      1.39e-06     26152.8      5.24e-22         1.62         1.69
2015.1550         36.00      7.49e-10      1.39e-06     26172.0      5.24e-22         1.62         1.69
2015.2246         36.00      7.50e-10      1.39e-06     26191.2      5.23e-22         1.62         1.69
2015.2941         36.00      7.50e-10      1.39e-06     26210.5      5.23e-22         1.62         1.69
2015.3636         36.00      7.51e-10      1.39e-06     26229.7      5.23e-22         1.62         1.69
2015.4331         36.00      7.52e-10      1.39e-06     26248.9      5.22e-22         1.62         1.69
2015.5027         36.00      7.52e-10      1.39e-06     26268.2      5.22e-22         1.62         1.69
2015.5721         36.00      7.53e-10      1.39e-06     26287.4      5.21e-22         1.62         1.69
2015.6417         36.00      7.53e-10      1.39e-06     26306.7      5.21e-22         1.62         1.69
2015.7112         36.00      7.54e-10      1.39e-06     26325.9      5.21e-22         1.62         1.69
2015.7808         36.00      7.55e-10      1.39e-06     26345.1      5.20e-22         1.62         1.69
2015.8502         36.00      7.55e-10      1.39e-06     26364.4      5.20e-22         1.62         1.69
2015.9198         36.00      7.56e-10      1.39e-06     26383.6      5.19e-22         1.62         1.69
2015.9893         36.00      7.56e-10      1.39e-06     26402.8      5.19e-22         1.62         1.69
2016.0588         36.00      7.57e-10      1.39e-06     26422.2      5.19e-22         1.62         1.69
2016.1283         36.00      7.58e-10      1.39e-06     26441.6      5.18e-22         1.62         1.69
2016.1979         36.00      7.58e-10      1.39e-06     26461.0      5.18e-22         1.62         1.69
2016.2673         36.00      7.59e-10      1.39e-06     26480.3      5.17e-22         1.62         1.69
2016.3369         36.00      7.59e-10      1.39e-06     26499.7      5.17e-22         1.62         1.69
2016.4064         36.00      7.60e-10      1.39e-06     26519.1      5.17e-22         1.62         1.69
2016.4760         36.00      7.60e-10      1.39e-06     26538.5      5.16e-22         1.61         1.69
2016.5454         36.00      7.61e-10      1.39e-06     26557.9      5.16e-22         1.61         1.69
2016.6150         36.00      7.61e-10      1.39e-06     26577.3      5.15e-22         1.61         1.69
2016.6844         36.00      7.62e-10      1.39e-06     26596.6      5.15e-22         1.61         1.69
2016.7540         36.00      7.62e-10      1.39e-06     26616.0      5.15e-22         1.61         1.69
2016.8235         36.00      7.63e-10      1.39e-06     26635.4      5.14e-22         1.61         1.69
2016.8931         36.00      7.64e-10      1.39e-06     26654.8      5.14e-22         1.61         1.69
2016.9625         36.00      7.64e-10      1.39e-06     26674.2      5.13e-22         1.61         1.69
2017.0321         36.00      7.65e-10      1.39e-06     26693.6      5.13e-22         1.61         1.69
2017.1016         36.00      7.65e-10      1.39e-06     26713.1      5.13e-22         1.61         1.69
2017.1711         36.00      7.66e-10      1.39e-06     26732.7      5.12e-22         1.61         1.69
2017.2406         36.00      7.66e-10      1.39e-06     26752.2      5.12e-22         1.61         1.69
2017.3102         36.00      7.67e-10      1.39e-06     26771.8      5.11e-22         1.61         1.68
2017.3796         36.00      7.67e-10      1.39e-06     26791.3      5.11e-22         1.61         1.68
2017.4492         36.00      7.68e-10      1.39e-06     26810.8      5.11e-22         1.61         1.68
2017.5187         36.00      7.68e-10      1.39e-06     26830.3      5.10e-22         1.61         1.68
2017.5883         36.00      7.69e-10      1.39e-06     26849.9      5.10e-22         1.61         1.68
2017.6577         36.00      7.70e-10      1.39e-06     26869.4      5.10e-22         1.61         1.68
2017.7273         36.00      7.70e-10      1.39e-06     26889.0      5.09e-22         1.61         1.68
2017.7968         36.00      7.71e-10      1.39e-06     26908.5      5.09e-22         1.61         1.68
2017.8663         36.00      7.71e-10      1.39e-06     26928.0      5.08e-22         1.61         1.68
2017.9358         36.00      7.72e-10      1.39e-06     26947.6      5.08e-22         1.61         1.68
2018.0054         36.00      7.72e-10      1.39e-06     26967.1      5.08e-22         1.61         1.68
2018.0748         36.00      7.73e-10      1.39e-06     26986.8      5.07e-22         1.61         1.68
2018.1444         36.00      7.73e-10      1.39e-06     27006.5      5.07e-22         1.61         1.68
2018.2139         36.00      7.74e-10      1.39e-06     27026.2      5.06e-22         1.61         1.68
2018.2834         36.00      7.74e-10      1.39e-06     27045.9      5.06e-22         1.61         1.68
2018.3529         36.00      7.75e-10      1.39e-06     27065.5      5.06e-22         1.61         1.68
2018.4225         36.00      7.75e-10      1.39e-06     27085.2      5.05e-22         1.61         1.68
2018.4919         36.00      7.76e-10      1.39e-06     27104.9      5.05e-22         1.61         1.68
2018.5615         36.00      7.76e-10      1.39e-06     27124.6      5.05e-22         1.61         1.68
2018.6310         36.00      7.77e-10      1.39e-06     27144.3      5.04e-22         1.61         1.68
2018.7006         36.00      7.77e-10      1.39e-06     27164.0      5.04e-22         1.61         1.68
2018.7700         36.00      7.78e-10      1.39e-06     27183.7      5.03e-22         1.61         1.68
2018.8396         36.00      7.78e-10      1.39e-06     27203.4      5.03e-22         1.61         1.68
2018.9091         36.00      7.79e-10      1.39e-06     27223.0      5.03e-22         1.61         1.68
2018.9786         36.00      7.79e-10      1.39e-06     27242.8      5.02e-22         1.61         1.68
2019.0481         36.00      7.80e-10      1.39e-06     27262.5      5.02e-22         1.61         1.68
2019.1177         36.00      7.80e-10      1.39e-06     27282.4      5.01e-22         1.61         1.68
2019.1871         36.00      7.81e-10      1.39e-06     27302.2      5.01e-22         1.61         1.68
2019.2567         36.00      7.82e-10      1.39e-06     27322.1      5.01e-22         1.61         1.68
2019.3262         36.00      7.82e-10      1.39e-06     27341.9      5.00e-22         1.61         1.68
2019.3958         36.00      7.83e-10      1.39e-06     27361.7      5.00e-22         1.61         1.68
2019.4652         36.00      7.83e-10      1.39e-06     27381.6      5.00e-22         1.61         1.68
2019.5348         36.00      7.84e-10      1.39e-06     27401.4      4.99e-22         1.61         1.68
2019.6042         36.00      7.84e-10      1.39e-06     27421.3      4.99e-22         1.61         1.68
2019.6738         36.00      7.85e-10      1.39e-06     27441.1      4.98e-22         1.61         1.68
2019.7433         36.00      7.85e-10      1.39e-06     27460.9      4.98e-22         1.61         1.68
2019.8129         36.00      7.86e-10      1.39e-06     27480.8      4.98e-22         1.61         1.67
2019.8823         36.00      7.86e-10      1.39e-06     27500.6      4.97e-22         1.61         1.67
2019.9519         36.00      7.87e-10      1.39e-06     27520.5      4.97e-22         1.61         1.67
2020.0214         36.00      7.87e-10      1.39e-06     27539.8      4.97e-22         1.61         1.67
2020.0909         36.00      7.88e-10      1.39e-06     27557.9      4.96e-22         1.61         1.67
2020.1604         36.00      7.88e-10      1.39e-06     27576.0      4.96e-22         1.61         1.67
2020.2300         36.00      7.89e-10      1.39e-06     27594.1      4.96e-22         1.61         1.67
2020.2994         36.00      7.89e-10      1.39e-06     27612.2      4.95e-22         1.61         1.67
2020.3690         36.00      7.90e-10      1.39e-06     27630.3      4.95e-22         1.61         1.67
2020.4385         36.00      7.90e-10      1.39e-06     27648.4      4.95e-22         1.61         1.67
